,id,premium,name,department,has_test,response_letter_required,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,insider_interview,url,adv_response_url,alternate_url,relations,contacts,working_days,working_time_intervals,working_time_modes,accept_temporary,area.id,area.name,area.url,salary.from,salary.to,salary.currency,salary.gross,type.id,type.name,employer.id,employer.name,employer.url,employer.alternate_url,employer.logo_urls.240,employer.logo_urls.90,employer.logo_urls.original,employer.vacancies_url,employer.trusted,snippet.requirement,snippet.responsibility,schedule.id,schedule.name,address.city,address.street,address.building,address.description,address.lat,address.lng,address.raw,address.metro,address.metro_stations,address.id,address.metro.station_name,address.metro.line_name,address.metro.station_id,address.metro.line_id,address.metro.lat,address.metro.lng,salary,department.id,department.name,employer.logo_urls
0,66108173,False,ML Engineer \ Data scientist,,False,False,,,,2022-06-04T12:40:32+0300,2022-06-04T12:40:32+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=66108173,,https://api.hh.ru/vacancies/66108173?host=hh.ru,https://api.hh.ru/vacancies/66108173/adv_response?host=hh.ru,https://hh.ru/vacancy/66108173,[],,[],[],[],False,1,Москва,https://api.hh.ru/areas/1,200000.0,700000.0,RUR,True,open,Открытая,4700635,Итон,https://api.hh.ru/employers/4700635,https://hh.ru/employer/4700635,https://hhcdn.ru/employer-logo/3428738.png,https://hhcdn.ru/employer-logo/3428737.png,https://hhcdn.ru/employer-logo-original/746944.png,https://api.hh.ru/vacancies?employer_id=4700635,True,Опыт проектирования нейронных сетей для детектирования аномалий и классификации данных (текстовые данные в HTTP). Знание фреймворков и библиотеками Pytorch/Tensorflow...,Проектирование и разработка нейронных сетей для детектирования аномалий и классификации данных (текстовые данные в HTTP).,fullDay,Полный день,,,,,,,,,,,,,,,,,,,,
1,66563217,True,Data expert / Главный эксперт по анализу данных,,True,False,,,,2022-06-03T09:28:26+0300,2022-06-03T09:28:26+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=66563217,,https://api.hh.ru/vacancies/66563217?host=hh.ru,https://api.hh.ru/vacancies/66563217/adv_response?host=hh.ru,https://hh.ru/vacancy/66563217,[],,[],[],[],False,1,Москва,https://api.hh.ru/areas/1,250000.0,500000.0,RUR,False,open,Открытая,1300820,Double Data,https://api.hh.ru/employers/1300820,https://hh.ru/employer/1300820,https://hhcdn.ru/employer-logo/2279185.png,https://hhcdn.ru/employer-logo/2279184.png,https://hhcdn.ru/employer-logo-original/459329.png,https://api.hh.ru/vacancies?employer_id=1300820,True,Вы имеете релевантный опыт сбора и/или анализа данных из соцсетей. Вы можете самостоятельно скачать серьезный объем данных из соцсети...,Сбором данных из социальных сетей и прочих открытых источников в РФ. Поиском инсайтов и аналитикой по собранным данным (Presto/Pandas...,remote,Удаленная работа,,,,,,,,,,,,,,,,,,,,
2,66593669,False,Data Engineer,,False,False,,,,2022-06-03T20:05:15+0300,2022-06-03T20:05:15+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=66593669,,https://api.hh.ru/vacancies/66593669?host=hh.ru,https://api.hh.ru/vacancies/66593669/adv_response?host=hh.ru,https://hh.ru/vacancy/66593669,[],,[],[],[],False,1,Москва,https://api.hh.ru/areas/1,150000.0,250000.0,RUR,False,open,Открытая,5599143,КИБЕР-РОМ,https://api.hh.ru/employers/5599143,https://hh.ru/employer/5599143,https://hhcdn.ru/employer-logo/4128705.jpeg,https://hhcdn.ru/employer-logo/4128704.jpeg,https://hhcdn.ru/employer-logo-original/922036.jpg,https://api.hh.ru/vacancies?employer_id=5599143,True,"Промышленный опыт работы с реалиционными базами данных (PostgreSQL/MySQL). Промышленный опыт работы c NoSQL Базами данных (ClickHouse, ElasticSearch, Redis). ","По хранению, размещению, обработке и проигрыванию видеоконтента: пользовательский, коммерческий, стриминговый контент. Стриминговые сервисы. Мобильные приложения, решения для SmartTV. Игровые проекты. ",fullDay,Полный день,Москва,Рочдельская улица,15с23,,55.754948,37.561625,"Москва, Рочдельская улица, 15с23",,[],6162489,,,,,,,,,,
3,47882723,False,BI Engineer (Tableau),,False,False,,,,2022-06-04T10:19:37+0300,2022-06-04T10:19:37+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=47882723,,https://api.hh.ru/vacancies/47882723?host=hh.ru,https://api.hh.ru/vacancies/47882723/adv_response?host=hh.ru,https://hh.ru/vacancy/47882723,[],,[],[],[],False,1,Москва,https://api.hh.ru/areas/1,250000.0,,RUR,False,open,Открытая,2524797,inDriver,https://api.hh.ru/employers/2524797,https://hh.ru/employer/2524797,https://hhcdn.ru/employer-logo/3249757.png,https://hhcdn.ru/employer-logo/3249756.png,https://hhcdn.ru/employer-logo-original/702160.png,https://api.hh.ru/vacancies?employer_id=2524797,True,"Знание Tableau Desktop (желательно понимать что такое и уметь использовать LOD, <highlighttext>data</highlighttext> blending, table calculations, sets). Знание SQL и реляционной...","Tableau (BI) - основной BI инструмент по визуализации данных и создания отчетности. Сюда входит Tableau Desktop Professional Edition, Tableau Server (Linux). ",fullDay,Полный день,Москва,4-й Лесной переулок,4,,55.779064,37.586922,"Москва, 4-й Лесной переулок, 4",,"[{'station_name': 'Белорусская', 'line_name': 'Замоскворецкая', 'station_id': '2.19', 'line_id': '2', 'lat': 55.777439, 'lng': 37.582107}]",5154540,Белорусская,Замоскворецкая,2.19,2,55.777439,37.582107,,,,
4,66592658,True,Senior Data Engineer,,False,False,,,,2022-06-03T18:19:05+0300,2022-06-03T18:19:05+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=66592658,,https://api.hh.ru/vacancies/66592658?host=hh.ru,https://api.hh.ru/vacancies/66592658/adv_response?host=hh.ru,https://hh.ru/vacancy/66592658,[],,[],[],[],False,1002,Минск,https://api.hh.ru/areas/1002,,,,,open,Открытая,679033,Specific-Group,https://api.hh.ru/employers/679033,https://hh.ru/employer/679033,https://hhcdn.ru/employer-logo/3863272.png,https://hhcdn.ru/employer-logo/3863271.png,https://hhcdn.ru/employer-logo-original/855599.png,https://api.hh.ru/vacancies?employer_id=679033,True,"Grafana, Prometheus. Jira, Confluence. 4 years of experience in <highlighttext>Data</highlighttext> <highlighttext>Engineering</highlighttext> / Software <highlighttext>Engineering</highlighttext>. Experience developing complex distributed software systems with...",You have relevant experience in the area of <highlighttext>data</highlighttext> platforms and stream processing operations. You will work on high throughput...,fullDay,Полный день,,,,,,,,,,,,,,,,,,,,
5,66592659,True,Senior Data Engineer,,False,False,,,,2022-06-03T18:19:05+0300,2022-06-03T18:19:05+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=66592659,,https://api.hh.ru/vacancies/66592659?host=hh.ru,https://api.hh.ru/vacancies/66592659/adv_response?host=hh.ru,https://hh.ru/vacancy/66592659,[],,[],[],[],False,1006,Гродно,https://api.hh.ru/areas/1006,,,,,open,Открытая,679033,Specific-Group,https://api.hh.ru/employers/679033,https://hh.ru/employer/679033,https://hhcdn.ru/employer-logo/3863272.png,https://hhcdn.ru/employer-logo/3863271.png,https://hhcdn.ru/employer-logo-original/855599.png,https://api.hh.ru/vacancies?employer_id=679033,True,"Grafana, Prometheus. Jira, Confluence. 4 years of experience in <highlighttext>Data</highlighttext> <highlighttext>Engineering</highlighttext> / Software <highlighttext>Engineering</highlighttext>. Experience developing complex distributed software systems with...",You have relevant experience in the area of <highlighttext>data</highlighttext> platforms and stream processing operations. You will work on high throughput...,fullDay,Полный день,,,,,,,,,,,,,,,,,,,,
6,55863345,False,Data-инженер,,False,False,,,,2022-06-04T14:26:09+0300,2022-06-04T14:26:09+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=55863345,,https://api.hh.ru/vacancies/55863345?host=hh.ru,https://api.hh.ru/vacancies/55863345/adv_response?host=hh.ru,https://hh.ru/vacancy/55863345,[],,[],[],[],False,1,Москва,https://api.hh.ru/areas/1,220000.0,,RUR,True,open,Открытая,5615061,Автономная некоммерческая организация Московский центр инновационных технологий в здравоохранении,https://api.hh.ru/employers/5615061,https://hh.ru/employer/5615061,https://hhcdn.ru/employer-logo/4218589.png,https://hhcdn.ru/employer-logo/4218588.png,https://hhcdn.ru/employer-logo-original/944513.png,https://api.hh.ru/vacancies?employer_id=5615061,True,"Опыт работы с Hadoop (HDFS, Yarn), понимание структур данных (Parquet). - Опыт разработки высокопроизводительных ETL-процессов на pySpark. - Глубокое знание SQL...","...настраивать процесс загрузки данных в <highlighttext>Data</highlighttext> Lake. Оптимизировать текущие процессы обработки данных. Развивать платформу данных, в т.ч. <highlighttext>Data</highlighttext> Quality.",fullDay,Полный день,Москва,проспект Вернадского,96,,55.651303,37.475908,"Москва, проспект Вернадского, 96",,[],7319187,,,,,,,,,,
7,55358460,False,Data engineer,,False,False,,,,2022-06-05T19:12:55+0300,2022-06-05T19:12:55+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=55358460,,https://api.hh.ru/vacancies/55358460?host=hh.ru,https://api.hh.ru/vacancies/55358460/adv_response?host=hh.ru,https://hh.ru/vacancy/55358460,[],,[],[],[],False,1,Москва,https://api.hh.ru/areas/1,3000.0,,USD,True,open,Открытая,4715215,T-DIGITAL,https://api.hh.ru/employers/4715215,https://hh.ru/employer/4715215,https://hhcdn.ru/employer-logo/3435002.jpeg,https://hhcdn.ru/employer-logo/3435001.jpeg,https://hhcdn.ru/employer-logo-original/748510.jpg,https://api.hh.ru/vacancies?employer_id=4715215,True,"Был опыт разработки решений для финансового сектора – как плюс. Есть знания в <highlighttext>Data</highlighttext> Science (статистика, теория вероятностей, вычислительные методы, алгоритмы...",Формирование требований к новым программным приложениям и хранилищам данных. Обучение команды <highlighttext>data</highlighttext> science аналитиков и разработчиков по работе с хранилищем...,fullDay,Полный день,,,,,,,,,,,,,,,,,,,,
8,66524794,False,Data Engineer,,False,False,,,,2022-06-04T19:55:00+0300,2022-06-04T19:55:00+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=66524794,,https://api.hh.ru/vacancies/66524794?host=hh.ru,https://api.hh.ru/vacancies/66524794/adv_response?host=hh.ru,https://hh.ru/vacancy/66524794,[],,[],[],[],False,1,Москва,https://api.hh.ru/areas/1,,,,,open,Открытая,3795484,Detego,https://api.hh.ru/employers/3795484,https://hh.ru/employer/3795484,https://hhcdn.ru/employer-logo/4157249.jpeg,https://hhcdn.ru/employer-logo/4157248.jpeg,https://hhcdn.ru/employer-logo-original/929172.jpg,https://api.hh.ru/vacancies?employer_id=3795484,True,Будет преимуществом - знание слоя хранения Delta Lake. Обязательно знание разговорного английского не менее уровня upper-intermediate - мы много и проактивно...,Построение <highlighttext>data</highlighttext> pipelines/ETL/ELT. Spark (Databricks). Контейнеры (Docker). Простые и понятные пути решения возникающих вопросов.,remote,Удаленная работа,,,,,,,,,"[{'station_name': 'Новокузнецкая', 'line_name': 'Замоскворецкая', 'station_id': '2.89', 'line_id': '2', 'lat': 55.742391, 'lng': 37.62928}]",2450412,Новокузнецкая,Замоскворецкая,2.89,2,55.742391,37.62928,,,,
9,66514122,False,Python developer/Data engineer,,False,False,,,,2022-06-04T14:02:52+0300,2022-06-04T14:02:52+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=66514122,,https://api.hh.ru/vacancies/66514122?host=hh.ru,https://api.hh.ru/vacancies/66514122/adv_response?host=hh.ru,https://hh.ru/vacancy/66514122,[],,[],[],[],False,1,Москва,https://api.hh.ru/areas/1,210000.0,240000.0,RUR,False,open,Открытая,701365,Бизнес-Азимут,https://api.hh.ru/employers/701365,https://hh.ru/employer/701365,https://hhcdn.ru/employer-logo/481883.jpeg,https://hhcdn.ru/employer-logo/481882.jpeg,https://hhcdn.ru/employer-logo-original/149835.jpg,https://api.hh.ru/vacancies?employer_id=701365,True,Владение Python на уровне middle-разработчика и выше. Опыт разработки на Python от 3-х лет. Уверенное использование фреймворка Apache...,Проект строительной компании (ГК Самолет). Разработка новой автоматизированной системы отчетности под различные бизнес-функции для застройщика: 1. разработка отчетов BI. ,remote,Удаленная работа,,,,,,,,,,,,,,,,,,,,
10,55189559,False,Data Engineer,,False,False,,,,2022-06-03T13:21:16+0300,2022-06-03T13:21:16+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=55189559,,https://api.hh.ru/vacancies/55189559?host=hh.ru,https://api.hh.ru/vacancies/55189559/adv_response?host=hh.ru,https://hh.ru/vacancy/55189559,[],,[],[],[],False,1,Москва,https://api.hh.ru/areas/1,,,,,open,Открытая,4934,билайн,https://api.hh.ru/employers/4934,https://hh.ru/employer/4934,https://hhcdn.ru/employer-logo/4050092.png,https://hhcdn.ru/employer-logo/4050091.png,https://hhcdn.ru/employer-logo-original/902351.png,https://api.hh.ru/vacancies?employer_id=4934,True,"СУБД – PostgreSQL, Greenplum, Aerospike, Oracle, SQL Server.","Анализ требований к витринам данных (взаимодействие с владельцем продукта, BI-разработчиками, <highlighttext>data</highlighttext> scientist-ами). Поиск и исследование источников данных для...",fullDay,Полный день,,,,,,,,,,,,,,,,,,bil-4934-it,"билайн: ИТ, Data, Digital",
11,55315921,False,Junior Data Engineer (GameDev),,False,False,,,,2022-06-04T16:56:07+0300,2022-06-04T16:56:07+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=55315921,,https://api.hh.ru/vacancies/55315921?host=hh.ru,https://api.hh.ru/vacancies/55315921/adv_response?host=hh.ru,https://hh.ru/vacancy/55315921,[],,[],[],[],False,1,Москва,https://api.hh.ru/areas/1,,,,,open,Открытая,3380507,AppQuantum,https://api.hh.ru/employers/3380507,https://hh.ru/employer/3380507,https://hhcdn.ru/employer-logo/2799480.png,https://hhcdn.ru/employer-logo/2799479.png,https://hhcdn.ru/employer-logo-original/589556.png,https://api.hh.ru/vacancies?employer_id=3380507,True,"Коммерческий опыт Python от года. Database - умение работать с вложенными запросами и оконными функциями, оптимизация запросов. Docker. Уверенный пользователь Linux. ",Разрабатывать ETL скрипты для новых источников данных. Оптимизировать и ускорять ETL скрипты. Настроить пайплайн автоматической проверки качества данных с alerting...,fullDay,Полный день,,,,,,,,,,,,,,,,,,,,
12,55080079,False,"Senior Data Analyst/ Product Analyst (Remote, to Canada/USA)",,False,False,,,,2022-06-03T22:17:30+0300,2022-06-03T22:17:30+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=55080079,,https://api.hh.ru/vacancies/55080079?host=hh.ru,https://api.hh.ru/vacancies/55080079/adv_response?host=hh.ru,https://hh.ru/vacancy/55080079,[],,[],[],[],True,1,Москва,https://api.hh.ru/areas/1,4000.0,6000.0,USD,False,open,Открытая,5800847,Truv Inc.,https://api.hh.ru/employers/5800847,https://hh.ru/employer/5800847,https://hhcdn.ru/employer-logo/4220497.png,https://hhcdn.ru/employer-logo/4220496.png,https://hhcdn.ru/employer-logo-original/944990.png,https://api.hh.ru/vacancies?employer_id=5800847,True,"Experience with building and maintaining <highlighttext>data</highlighttext> pipelines, ensuring <highlighttext>data</highlighttext> integrity. Proficient at both SQL and Python. A track record of...",Build <highlighttext>data</highlighttext> visualizations using Metabase and Jupyter notebooks as a method of conveying <highlighttext>data</highlighttext> insights. Help <highlighttext>engineering</highlighttext> teams set up...,fullDay,Полный день,,,,,,,,,,,,,,,,,,,,
13,55529997,False,Deep Learning/Machine Learning NLP Engineer,,False,True,,,,2022-06-05T17:05:43+0300,2022-06-05T17:05:43+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=55529997,,https://api.hh.ru/vacancies/55529997?host=hh.ru,https://api.hh.ru/vacancies/55529997/adv_response?host=hh.ru,https://hh.ru/vacancy/55529997,[],,[],[],[],False,1,Москва,https://api.hh.ru/areas/1,100000.0,200000.0,RUR,False,open,Открытая,4641329,НСК ЭкоСфера,https://api.hh.ru/employers/4641329,https://hh.ru/employer/4641329,https://hhcdn.ru/employer-logo/4201681.jpeg,https://hhcdn.ru/employer-logo/4201680.jpeg,https://hhcdn.ru/employer-logo-original/940284.jpg,https://api.hh.ru/vacancies?employer_id=4641329,True,"Умение здраво оценивать необходимые ресурсы, в том числе временные для решения поставленной задачи. Навыки <highlighttext>data</highlighttext>-<highlighttext>engineering</highlighttext>’а. Понимание решения бизнес...",Исследовать влияния новостных данных на поведение биржевых инструментов.,fullDay,Полный день,Москва,Последний переулок,24,,55.769783,37.629565,"Москва, Последний переулок, 24",,"[{'station_name': 'Сухаревская', 'line_name': 'Калужско-Рижская', 'station_id': '6.137', 'line_id': '6', 'lat': 55.772315, 'lng': 37.63285}, {'station_name': 'Трубная', 'line_name': 'Люблинско-Дмитровская', 'station_id': '10.177', 'line_id': '10', 'lat': 55.76771, 'lng': 37.621926}]",5236985,Сухаревская,Калужско-Рижская,6.137,6,55.772315,37.63285,,,,
